State,lowIncomeReading,highIncomeReading,lowIncomePreK,highIncomePreK
Alabama,18,49,32,52
Alaska,15,40,31,39
Arizona,15,43,25,44
Arkansas,22,46,41,51
California,15,46,37,56
Colorado,21,55,38,57
Connecticut,19,57,56,67
Delaware,25,52,36,55
District of Columbia,13,61,0,0
Florida,27,58,41,58
Georgia,21,53,38,59
Hawaii,17,43,41,53
Idaho,22,44,26,40
Illinois,16,52,45,59
Indiana,25,51,30,49
Iowa,23,48,42,51
Kansas,22,54,38,49
Kentucky,23,51,36,49
Louisiana,15,42,45,56
Maine,24,48,36,47
Maryland,24,58,35,55
Massachusetts,25,62,46,65
Michigan,19,44,40,53
Minnesota,23,52,38,50
Mississippi,15,42,46,52
Missouri,23,49,36,52
Montana,22,46,35,42
Nebraska,23,49,37,51
Nevada,17,44,22,40
New Hampshire,24,53,43,60
New Jersey,22,56,53,66
New Mexico,15,39,34,44
New York,23,53,46,62
North Carolina,22,53,31,55
North Dakota,22,40,33,40
Ohio,20,52,37,53
Oklahoma,21,43,37,46
Oregon,21,50,31,50
Pennsylvania,23,55,36,56
Rhode Island,19,55,0,0
South Carolina,17,46,34,52
South Dakota,18,42,34,37
Tennessee,18,52,32,49
Texas,17,47,33,49
Utah,24,46,31,48
Vermont,26,54,38,58
Virginia,21,56,34,54
Washington,23,53,29,49
West Virginia,24,37,33,38
Wisconsin,20,47,32,45
Wyoming,24,46,0,0